time1,time2,bodystate
Fri Mar  7 12:05:00 2014,Fri Mar  7 12:06:00 2014,light_activity
Fri Mar  7 11:59:00 2014,Fri Mar  7 12:05:00 2014,inactive
Fri Mar  7 11:57:00 2014,Fri Mar  7 11:59:00 2014,light_activity
Fri Mar  7 11:45:00 2014,Fri Mar  7 11:57:00 2014,inactive
Fri Mar  7 11:35:00 2014,Fri Mar  7 11:45:00 2014,light_activity
Fri Mar  7 11:25:00 2014,Fri Mar  7 11:35:00 2014,inactive
Fri Mar  7 11:24:00 2014,Fri Mar  7 11:25:00 2014,light_activity
Fri Mar  7 11:15:00 2014,Fri Mar  7 11:24:00 2014,inactive
Fri Mar  7 11:14:00 2014,Fri Mar  7 11:15:00 2014,light_activity
Fri Mar  7 11:03:00 2014,Fri Mar  7 11:14:00 2014,inactive
Fri Mar  7 10:58:00 2014,Fri Mar  7 11:03:00 2014,light_activity
Fri Mar  7 10:55:00 2014,Fri Mar  7 10:58:00 2014,inactive
Fri Mar  7 10:48:00 2014,Fri Mar  7 10:55:00 2014,light_activity
Fri Mar  7 10:37:00 2014,Fri Mar  7 10:48:00 2014,inactive
Fri Mar  7 10:34:00 2014,Fri Mar  7 10:37:00 2014,light_activity
Fri Mar  7 10:07:00 2014,Fri Mar  7 10:34:00 2014,moderate_activity
Fri Mar  7 09:49:00 2014,Fri Mar  7 10:07:00 2014,light_activity
Fri Mar  7 09:46:00 2014,Fri Mar  7 09:49:00 2014,inactive
Fri Mar  7 09:41:00 2014,Fri Mar  7 09:46:00 2014,light_activity
Fri Mar  7 09:32:00 2014,Fri Mar  7 09:41:00 2014,inactive
Fri Mar  7 09:28:00 2014,Fri Mar  7 09:32:00 2014,light_activity
Fri Mar  7 09:25:00 2014,Fri Mar  7 09:28:00 2014,inactive
Fri Mar  7 09:05:00 2014,Fri Mar  7 09:25:00 2014,light_activity
Fri Mar  7 09:01:00 2014,Fri Mar  7 09:05:00 2014,inactive
Thu Mar  6 23:30:00 2014,Fri Mar  7 09:01:00 2014,sleep
Thu Mar  6 22:40:00 2014,Thu Mar  6 23:30:00 2014,inactive
Thu Mar  6 22:39:00 2014,Thu Mar  6 22:40:00 2014,light_activity
Thu Mar  6 22:31:00 2014,Thu Mar  6 22:39:00 2014,inactive
Thu Mar  6 22:30:00 2014,Thu Mar  6 22:31:00 2014,light_activity
Thu Mar  6 22:11:00 2014,Thu Mar  6 22:30:00 2014,off_wrist
Thu Mar  6 22:04:00 2014,Thu Mar  6 22:11:00 2014,light_activity
Thu Mar  6 21:34:00 2014,Thu Mar  6 22:04:00 2014,inactive
Thu Mar  6 21:29:00 2014,Thu Mar  6 21:34:00 2014,light_activity
Thu Mar  6 21:15:00 2014,Thu Mar  6 21:29:00 2014,inactive
Thu Mar  6 21:13:00 2014,Thu Mar  6 21:15:00 2014,light_activity
Thu Mar  6 21:04:00 2014,Thu Mar  6 21:13:00 2014,inactive
Thu Mar  6 21:02:00 2014,Thu Mar  6 21:04:00 2014,light_activity
Thu Mar  6 20:57:00 2014,Thu Mar  6 21:02:00 2014,inactive
Thu Mar  6 20:50:00 2014,Thu Mar  6 20:57:00 2014,light_activity
Thu Mar  6 20:46:00 2014,Thu Mar  6 20:50:00 2014,inactive
Thu Mar  6 20:27:00 2014,Thu Mar  6 20:46:00 2014,light_activity
Thu Mar  6 20:14:00 2014,Thu Mar  6 20:27:00 2014,inactive
Thu Mar  6 20:11:00 2014,Thu Mar  6 20:14:00 2014,light_activity
Thu Mar  6 18:44:00 2014,Thu Mar  6 20:11:00 2014,inactive
Thu Mar  6 18:30:00 2014,Thu Mar  6 18:44:00 2014,light_activity
Thu Mar  6 18:21:00 2014,Thu Mar  6 18:30:00 2014,inactive
Thu Mar  6 18:17:00 2014,Thu Mar  6 18:21:00 2014,light_activity
Thu Mar  6 18:08:00 2014,Thu Mar  6 18:17:00 2014,inactive
Thu Mar  6 18:05:00 2014,Thu Mar  6 18:08:00 2014,light_activity
Thu Mar  6 17:26:00 2014,Thu Mar  6 18:05:00 2014,inactive
Thu Mar  6 17:23:00 2014,Thu Mar  6 17:26:00 2014,light_activity
Thu Mar  6 17:14:00 2014,Thu Mar  6 17:23:00 2014,inactive
Thu Mar  6 17:08:00 2014,Thu Mar  6 17:14:00 2014,light_activity
Thu Mar  6 16:46:00 2014,Thu Mar  6 17:08:00 2014,inactive
Thu Mar  6 16:42:00 2014,Thu Mar  6 16:46:00 2014,light_activity
Thu Mar  6 16:33:00 2014,Thu Mar  6 16:42:00 2014,inactive
Thu Mar  6 16:27:00 2014,Thu Mar  6 16:33:00 2014,light_activity
Thu Mar  6 15:28:00 2014,Thu Mar  6 16:27:00 2014,inactive
Thu Mar  6 15:22:00 2014,Thu Mar  6 15:28:00 2014,light_activity
Thu Mar  6 14:45:00 2014,Thu Mar  6 15:22:00 2014,inactive
Thu Mar  6 14:39:00 2014,Thu Mar  6 14:45:00 2014,light_activity
Thu Mar  6 14:21:00 2014,Thu Mar  6 14:39:00 2014,inactive
Thu Mar  6 14:18:00 2014,Thu Mar  6 14:21:00 2014,light_activity
Thu Mar  6 13:51:00 2014,Thu Mar  6 14:18:00 2014,inactive
Thu Mar  6 13:50:00 2014,Thu Mar  6 13:51:00 2014,light_activity
Thu Mar  6 13:08:00 2014,Thu Mar  6 13:50:00 2014,inactive
Thu Mar  6 13:06:00 2014,Thu Mar  6 13:08:00 2014,light_activity
Thu Mar  6 12:48:00 2014,Thu Mar  6 13:06:00 2014,inactive
Thu Mar  6 12:47:00 2014,Thu Mar  6 12:48:00 2014,light_activity
Thu Mar  6 12:42:00 2014,Thu Mar  6 12:47:00 2014,inactive
Thu Mar  6 12:10:00 2014,Thu Mar  6 12:42:00 2014,sleep
Thu Mar  6 12:05:00 2014,Thu Mar  6 12:10:00 2014,inactive
Thu Mar  6 11:51:00 2014,Thu Mar  6 12:05:00 2014,moderate_activity
Thu Mar  6 11:22:00 2014,Thu Mar  6 11:51:00 2014,light_activity
Thu Mar  6 11:17:00 2014,Thu Mar  6 11:22:00 2014,inactive
Thu Mar  6 11:08:00 2014,Thu Mar  6 11:17:00 2014,light_activity
Thu Mar  6 10:58:00 2014,Thu Mar  6 11:08:00 2014,inactive
Thu Mar  6 10:55:00 2014,Thu Mar  6 10:58:00 2014,light_activity
Thu Mar  6 10:51:00 2014,Thu Mar  6 10:55:00 2014,inactive
Thu Mar  6 10:50:00 2014,Thu Mar  6 10:51:00 2014,light_activity
Thu Mar  6 10:11:00 2014,Thu Mar  6 10:50:00 2014,moderate_activity
Thu Mar  6 10:10:00 2014,Thu Mar  6 10:11:00 2014,light_activity
Thu Mar  6 10:00:00 2014,Thu Mar  6 10:10:00 2014,inactive
Thu Mar  6 09:43:00 2014,Thu Mar  6 10:00:00 2014,light_activity
Thu Mar  6 09:38:00 2014,Thu Mar  6 09:43:00 2014,inactive
Thu Mar  6 09:15:00 2014,Thu Mar  6 09:38:00 2014,light_activity
Thu Mar  6 08:42:00 2014,Thu Mar  6 09:15:00 2014,inactive
Wed Mar  5 23:35:00 2014,Thu Mar  6 08:42:00 2014,sleep
Wed Mar  5 23:16:00 2014,Wed Mar  5 23:35:00 2014,inactive
Wed Mar  5 23:10:00 2014,Wed Mar  5 23:16:00 2014,light_activity
Wed Mar  5 09:13:00 2014,Wed Mar  5 23:10:00 2014,off_wrist
Wed Mar  5 09:10:00 2014,Wed Mar  5 09:13:00 2014,inactive
Wed Mar  5 09:07:00 2014,Wed Mar  5 09:10:00 2014,light_activity
Wed Mar  5 09:01:00 2014,Wed Mar  5 09:07:00 2014,inactive
Wed Mar  5 08:52:00 2014,Wed Mar  5 09:01:00 2014,light_activity
Wed Mar  5 08:49:00 2014,Wed Mar  5 08:52:00 2014,inactive
Wed Mar  5 08:48:00 2014,Wed Mar  5 08:49:00 2014,light_activity
Wed Mar  5 08:42:00 2014,Wed Mar  5 08:48:00 2014,inactive
Wed Mar  5 08:41:00 2014,Wed Mar  5 08:42:00 2014,light_activity
Wed Mar  5 08:05:00 2014,Wed Mar  5 08:41:00 2014,inactive
Wed Mar  5 08:04:00 2014,Wed Mar  5 08:05:00 2014,light_activity
Wed Mar  5 08:01:00 2014,Wed Mar  5 08:04:00 2014,inactive
Wed Mar  5 07:59:00 2014,Wed Mar  5 08:01:00 2014,light_activity
Tue Mar  4 22:13:00 2014,Wed Mar  5 07:59:00 2014,sleep
Tue Mar  4 22:11:00 2014,Tue Mar  4 22:13:00 2014,light_activity
Tue Mar  4 21:54:00 2014,Tue Mar  4 22:11:00 2014,inactive
Tue Mar  4 21:53:00 2014,Tue Mar  4 21:54:00 2014,light_activity
Tue Mar  4 21:46:00 2014,Tue Mar  4 21:53:00 2014,inactive
Tue Mar  4 21:45:00 2014,Tue Mar  4 21:46:00 2014,light_activity
Tue Mar  4 21:19:00 2014,Tue Mar  4 21:45:00 2014,inactive
Tue Mar  4 21:18:00 2014,Tue Mar  4 21:19:00 2014,light_activity
Tue Mar  4 21:08:00 2014,Tue Mar  4 21:18:00 2014,inactive
Tue Mar  4 21:05:00 2014,Tue Mar  4 21:08:00 2014,light_activity
Tue Mar  4 20:53:00 2014,Tue Mar  4 21:05:00 2014,inactive
Tue Mar  4 20:51:00 2014,Tue Mar  4 20:53:00 2014,light_activity
Tue Mar  4 20:45:00 2014,Tue Mar  4 20:51:00 2014,inactive
Tue Mar  4 20:44:00 2014,Tue Mar  4 20:45:00 2014,light_activity
Tue Mar  4 20:11:00 2014,Tue Mar  4 20:44:00 2014,off_wrist
Tue Mar  4 20:07:00 2014,Tue Mar  4 20:11:00 2014,inactive
Tue Mar  4 20:05:00 2014,Tue Mar  4 20:07:00 2014,light_activity
Tue Mar  4 19:55:00 2014,Tue Mar  4 20:05:00 2014,inactive
Tue Mar  4 19:44:00 2014,Tue Mar  4 19:55:00 2014,light_activity
Tue Mar  4 19:03:00 2014,Tue Mar  4 19:44:00 2014,inactive
Tue Mar  4 18:00:00 2014,Tue Mar  4 19:03:00 2014,moderate_activity
Tue Mar  4 16:28:00 2014,Tue Mar  4 18:00:00 2014,inactive
Tue Mar  4 16:20:00 2014,Tue Mar  4 16:28:00 2014,light_activity
Tue Mar  4 13:41:00 2014,Tue Mar  4 16:20:00 2014,inactive
Tue Mar  4 13:35:00 2014,Tue Mar  4 13:41:00 2014,light_activity
Tue Mar  4 13:32:00 2014,Tue Mar  4 13:35:00 2014,inactive
Tue Mar  4 13:31:00 2014,Tue Mar  4 13:32:00 2014,light_activity
Tue Mar  4 13:25:00 2014,Tue Mar  4 13:31:00 2014,inactive
Tue Mar  4 13:22:00 2014,Tue Mar  4 13:25:00 2014,light_activity
Tue Mar  4 12:54:00 2014,Tue Mar  4 13:22:00 2014,inactive
Tue Mar  4 12:52:00 2014,Tue Mar  4 12:54:00 2014,light_activity
Tue Mar  4 12:36:00 2014,Tue Mar  4 12:52:00 2014,inactive
Tue Mar  4 12:30:00 2014,Tue Mar  4 12:36:00 2014,light_activity
Tue Mar  4 12:04:00 2014,Tue Mar  4 12:30:00 2014,inactive
Tue Mar  4 12:03:00 2014,Tue Mar  4 12:04:00 2014,light_activity
Tue Mar  4 11:52:00 2014,Tue Mar  4 12:03:00 2014,inactive
Tue Mar  4 11:51:00 2014,Tue Mar  4 11:52:00 2014,light_activity
Tue Mar  4 11:44:00 2014,Tue Mar  4 11:51:00 2014,inactive
Tue Mar  4 11:43:00 2014,Tue Mar  4 11:44:00 2014,light_activity
Tue Mar  4 11:34:00 2014,Tue Mar  4 11:43:00 2014,inactive
Tue Mar  4 11:32:00 2014,Tue Mar  4 11:34:00 2014,light_activity
Tue Mar  4 11:27:00 2014,Tue Mar  4 11:32:00 2014,inactive
Tue Mar  4 11:25:00 2014,Tue Mar  4 11:27:00 2014,light_activity
Tue Mar  4 11:05:00 2014,Tue Mar  4 11:25:00 2014,inactive
Tue Mar  4 11:04:00 2014,Tue Mar  4 11:05:00 2014,light_activity
Tue Mar  4 10:59:00 2014,Tue Mar  4 11:04:00 2014,inactive
Tue Mar  4 10:57:00 2014,Tue Mar  4 10:59:00 2014,light_activity
Tue Mar  4 10:53:00 2014,Tue Mar  4 10:57:00 2014,inactive
Tue Mar  4 10:41:00 2014,Tue Mar  4 10:53:00 2014,light_activity
Tue Mar  4 10:21:00 2014,Tue Mar  4 10:41:00 2014,inactive
Tue Mar  4 10:18:00 2014,Tue Mar  4 10:21:00 2014,light_activity
Tue Mar  4 09:44:00 2014,Tue Mar  4 10:18:00 2014,moderate_activity
Tue Mar  4 09:43:00 2014,Tue Mar  4 09:44:00 2014,light_activity
Tue Mar  4 09:37:00 2014,Tue Mar  4 09:43:00 2014,inactive
Tue Mar  4 09:36:00 2014,Tue Mar  4 09:37:00 2014,light_activity
Tue Mar  4 09:30:00 2014,Tue Mar  4 09:36:00 2014,inactive
Tue Mar  4 09:06:00 2014,Tue Mar  4 09:30:00 2014,light_activity
Tue Mar  4 09:03:00 2014,Tue Mar  4 09:06:00 2014,inactive
Tue Mar  4 08:53:00 2014,Tue Mar  4 09:03:00 2014,light_activity
Tue Mar  4 08:50:00 2014,Tue Mar  4 08:53:00 2014,inactive
Tue Mar  4 08:29:00 2014,Tue Mar  4 08:50:00 2014,light_activity
Tue Mar  4 08:00:00 2014,Tue Mar  4 08:29:00 2014,inactive
Tue Mar  4 00:55:00 2014,Tue Mar  4 08:00:00 2014,sleep
Tue Mar  4 00:47:00 2014,Tue Mar  4 00:55:00 2014,inactive
Tue Mar  4 00:46:00 2014,Tue Mar  4 00:47:00 2014,light_activity
Tue Mar  4 00:07:00 2014,Tue Mar  4 00:46:00 2014,inactive
Tue Mar  4 00:03:00 2014,Tue Mar  4 00:07:00 2014,light_activity
Mon Mar  3 23:18:00 2014,Tue Mar  4 00:03:00 2014,sleep
Mon Mar  3 23:06:00 2014,Mon Mar  3 23:18:00 2014,inactive
Mon Mar  3 23:05:00 2014,Mon Mar  3 23:06:00 2014,light_activity
Mon Mar  3 22:22:00 2014,Mon Mar  3 23:05:00 2014,inactive
Mon Mar  3 22:16:00 2014,Mon Mar  3 22:22:00 2014,light_activity
Mon Mar  3 22:03:00 2014,Mon Mar  3 22:16:00 2014,inactive
Mon Mar  3 22:02:00 2014,Mon Mar  3 22:03:00 2014,light_activity
Mon Mar  3 21:55:00 2014,Mon Mar  3 22:02:00 2014,inactive
Mon Mar  3 21:53:00 2014,Mon Mar  3 21:55:00 2014,light_activity
Mon Mar  3 21:29:00 2014,Mon Mar  3 21:53:00 2014,inactive
Mon Mar  3 21:24:00 2014,Mon Mar  3 21:29:00 2014,light_activity
Mon Mar  3 21:13:00 2014,Mon Mar  3 21:24:00 2014,inactive
Mon Mar  3 20:59:00 2014,Mon Mar  3 21:13:00 2014,moderate_activity
Mon Mar  3 20:42:00 2014,Mon Mar  3 20:59:00 2014,inactive
Mon Mar  3 20:37:00 2014,Mon Mar  3 20:42:00 2014,light_activity
Mon Mar  3 20:26:00 2014,Mon Mar  3 20:37:00 2014,off_wrist
Mon Mar  3 20:21:00 2014,Mon Mar  3 20:26:00 2014,light_activity
Mon Mar  3 20:02:00 2014,Mon Mar  3 20:21:00 2014,inactive
Mon Mar  3 20:00:00 2014,Mon Mar  3 20:02:00 2014,light_activity
Mon Mar  3 19:57:00 2014,Mon Mar  3 20:00:00 2014,inactive
Mon Mar  3 19:42:00 2014,Mon Mar  3 19:57:00 2014,light_activity
Mon Mar  3 19:35:00 2014,Mon Mar  3 19:42:00 2014,inactive
Mon Mar  3 19:21:00 2014,Mon Mar  3 19:35:00 2014,light_activity
Mon Mar  3 19:11:00 2014,Mon Mar  3 19:21:00 2014,moderate_activity
Mon Mar  3 19:09:00 2014,Mon Mar  3 19:11:00 2014,light_activity
Mon Mar  3 19:02:00 2014,Mon Mar  3 19:09:00 2014,inactive
Mon Mar  3 18:55:00 2014,Mon Mar  3 19:02:00 2014,light_activity
Mon Mar  3 18:43:00 2014,Mon Mar  3 18:55:00 2014,inactive
Mon Mar  3 18:42:00 2014,Mon Mar  3 18:43:00 2014,light_activity
Mon Mar  3 18:32:00 2014,Mon Mar  3 18:42:00 2014,moderate_activity
Mon Mar  3 18:28:00 2014,Mon Mar  3 18:32:00 2014,light_activity
Mon Mar  3 18:18:00 2014,Mon Mar  3 18:28:00 2014,inactive
Mon Mar  3 18:17:00 2014,Mon Mar  3 18:18:00 2014,off_wrist
Mon Mar  3 18:12:00 2014,Mon Mar  3 18:17:00 2014,light_activity
Mon Mar  3 18:06:00 2014,Mon Mar  3 18:12:00 2014,inactive
Mon Mar  3 18:03:00 2014,Mon Mar  3 18:06:00 2014,light_activity
Mon Mar  3 17:51:00 2014,Mon Mar  3 18:03:00 2014,inactive
Mon Mar  3 17:46:00 2014,Mon Mar  3 17:51:00 2014,light_activity
Mon Mar  3 17:38:00 2014,Mon Mar  3 17:46:00 2014,inactive
Mon Mar  3 17:35:00 2014,Mon Mar  3 17:38:00 2014,light_activity
Mon Mar  3 17:02:00 2014,Mon Mar  3 17:35:00 2014,inactive
Mon Mar  3 17:01:00 2014,Mon Mar  3 17:02:00 2014,light_activity
Mon Mar  3 16:12:00 2014,Mon Mar  3 17:01:00 2014,inactive
Mon Mar  3 16:09:00 2014,Mon Mar  3 16:12:00 2014,light_activity
Mon Mar  3 15:59:00 2014,Mon Mar  3 16:09:00 2014,inactive
Mon Mar  3 15:57:00 2014,Mon Mar  3 15:59:00 2014,light_activity
Mon Mar  3 15:54:00 2014,Mon Mar  3 15:57:00 2014,inactive
Mon Mar  3 15:48:00 2014,Mon Mar  3 15:54:00 2014,light_activity
Mon Mar  3 15:13:00 2014,Mon Mar  3 15:48:00 2014,inactive
Mon Mar  3 15:12:00 2014,Mon Mar  3 15:13:00 2014,light_activity
Mon Mar  3 14:59:00 2014,Mon Mar  3 15:12:00 2014,inactive
Mon Mar  3 14:53:00 2014,Mon Mar  3 14:59:00 2014,light_activity
Mon Mar  3 14:48:00 2014,Mon Mar  3 14:53:00 2014,inactive
Mon Mar  3 14:46:00 2014,Mon Mar  3 14:48:00 2014,light_activity
Mon Mar  3 14:13:00 2014,Mon Mar  3 14:46:00 2014,inactive
Mon Mar  3 14:09:00 2014,Mon Mar  3 14:13:00 2014,light_activity
Mon Mar  3 14:03:00 2014,Mon Mar  3 14:09:00 2014,inactive
Mon Mar  3 13:59:00 2014,Mon Mar  3 14:03:00 2014,light_activity
Mon Mar  3 13:04:00 2014,Mon Mar  3 13:59:00 2014,inactive
Mon Mar  3 12:58:00 2014,Mon Mar  3 13:04:00 2014,light_activity
Mon Mar  3 12:20:00 2014,Mon Mar  3 12:58:00 2014,inactive
Mon Mar  3 12:19:00 2014,Mon Mar  3 12:20:00 2014,light_activity
Mon Mar  3 12:01:00 2014,Mon Mar  3 12:19:00 2014,inactive
Mon Mar  3 11:59:00 2014,Mon Mar  3 12:01:00 2014,light_activity
Mon Mar  3 11:50:00 2014,Mon Mar  3 11:59:00 2014,inactive
Mon Mar  3 11:48:00 2014,Mon Mar  3 11:50:00 2014,light_activity
Mon Mar  3 11:31:00 2014,Mon Mar  3 11:48:00 2014,inactive
Mon Mar  3 11:28:00 2014,Mon Mar  3 11:31:00 2014,light_activity
Mon Mar  3 11:18:00 2014,Mon Mar  3 11:28:00 2014,inactive
Mon Mar  3 11:17:00 2014,Mon Mar  3 11:18:00 2014,light_activity
